"","ix","prolific_id","condition","task.input.a_input","task.input.b_input","feedback","correct"
"110",621,"5fbc09e242e4d907cad1af91","mult","the magic eggs multiply the number of stick segments by the number of dots on the egg. number of segments after contact (n) = number of dots (d) x number of segments before contact (sg)","the number of segments after contact (n) = (the number of dots on the egg (d) x the number of segments before contact (sg)) - the number of red lines on the egg (l). n=(d x sg)-l The stick is multiplied by the number of dots on the egg and then loses a segment for each red line on the egg.","Only realised during the 2nd prediction stage that there is no way of knowing if you should multiply or subtract first! I went with BIDMAS but wonder if this was what you were testing. If not a third stage would have been interesting to see which way it was. ",11
"111",622,"5d1fccc7475f3e0001e54407","mult","2 dots + on the magic eggs increase stick length by 2","for each stripe in the magic egg the stick loses a segment","no",5
"112",623,"6093e78e30fb90f291b261f9","mult","When there is an even number of spots the eggs double when they touch the sticks.","i still think it depends how many eggs there are but my last theory is wrong.  i still think it might have something to do with odd or even numbers of eggs.","Much harder than I thought and I cant work it out.   I know my theories are wrong.  I tried my best and enjoyed taking part.  I hope your study goes well.",5
"113",624,"6005cc2c7b530e88cc5c1fcb","mult","the egg doubles depending on the number and how many eggs","the more lines the more the boxes get removed","none",3
"114",625,"60e85190b9cffd8fed0a064f","mult","I think the egg had to have more than one dot to grow but dont know why one with 2 dots grew to 4 and the one with 3 dots grew to 3","The stripes take away the number of sticks that there are stripes","it was a bit puzzling but hope i got the hang of it. At first the spots seemed to add on but sometimes didnt but the stripes seemed to take away from it all. ",6
"115",626,"60c048ca962103e0da201a34","mult","You multiply the dots by the sticks ie. 1) 1 x 3 which = 3 so the stick stays the same. 2) 2 x 2 =4 so the stick increases in size. 3) 3 x 1 = 3 so the stick stays the same.","The dots multiply and the stripes subtract ie. 4)1 x 3 = 3 then subtract 1 and you are left with 2 blocks. 5) 1 x 3 =3 then subtract 2 and you are left with 1 block. 6)1 x 3 = 3 then subtract 3 and you are left with 0 blocks.","no ",10
"116",627,"5d95dfca33f8930017e85486","mult","The number of dots indicates the multiplication factor of the segments so if there are 2 dots the segments are increased by a factor of 2.","If the dots are on there own (so no stripes present) then the segments are increased by multiplying by the amount of dots.  If stripes are present then the number of segments decrease by the amount of stripes that are present. When there are stripes and more than 1 dot I would predict that you multiply the number of segments by the dots but then reduce by the amount by the amount of stripes.","No ",8
"117",628,"602a2911a73ba046955f6c58","mult","I think the number of spots are multiplied by the number of rows on the stick so 1x3 is no change. 2x2 increases to 4 3 x1 increases the stick to 3.","The spots are multiplied so one spot multiples the blocks by one therefore no change. 2 spots multiples by two so for example 2 spots hitting two blocks lengthens it to four. The lines need to be subtracted. So for example two spots hits two blocks making four but if there is one stripe it gets taken away so the final line is three blocks long.","I think I am correct but the one which threw me was the two lines in the circle next to a blank circle - the answer then by my reasoning was minus two - not possible to give this as a solution though! Of course I could be wrong with my reasoning of how the lines and spots worked! That was a fun exercise.",10
"118",629,"616d8ff5eeb9a8616afa647d","mult","They increase the length of the sticks by the number of dots in the egg","Each line removes one segment in the stick.","Found it very difficult to see a pattern!",6
"119",630,"5f00d65cb69f9e20f144e404","mult","An odd number of dots causes the length of the sticks to be odd and an even number of dots causes the length of the sticks to be even. ","An equal increase in the number of stripes leads to an equal decrease of the stickss length.","This was an interesting experiment thank you for inviting me.",3
"120",631,"60aa79fa99f7d53701b02256","mult","even number of circles in the eggs doubles the planks","if the dot is higher up in the egg then more planks","no",0
"121",632,"6117efedb574017076d5b499","mult","I think the magic eggs would change the length of the stick when it touch the stick. ","When the magic eggs touch the stick it changes the number of the stick.","No comments.",2
