"","ix","condition","task.input.a_input","task.input.b_input","feedback","correct"
"123",150,"comp_const","the eggs can only add 2 blocks of length which is why the first egg did not add anything and the third egg only added 2 blocks of length was because the single stripe does not add any length. This would mean only 2 stripes add length so if there were an egg with 4 stripes it would add 4 blocks of length.","I believe that every 2 stripes bars of length are added. When there are dots on the egg the bars length are subtracted depending on the number of dot.","The experiment was difficult.",2
"124",151,"comp_mult_reverse","the dots in the circle a related to the number of blocks in the strip. If one bar in the circle you reduce the strip by the number of dots. If three bars in the circle you add to the strip by the number of dots. If there are two bars in the circle the number in the strip should be the same as number of dots","I feel like my first guess was completely incorrect and I have no idea what the bars or circles in the magic eggs do to the strips","I wish I was smarter and could figure out the logic of these eggs",2
"125",152,"comp_const","The length is multiplied by the amount of stripes on the magic egg. 1 stripe remains the same 2 stripes doubles the length and 3 stripes triples the length","The number of dots is how many lengths is removed. 1 dot removes 1 segment 2 dots removes 2 segments and 3 dots removes 3","No ",4
"126",153,"comp_const","The first egg did nothing.  The second egg with 2 stripes made the stick grow by 2.  The third egg made the stick grow by 2.","The dots make the stick shorter.","It was interesting.",2
"127",154,"comp_const","Number of stripes multiplied by number of blocks = new number of blocks. E.g. 1 stripe x 3 blocks = 3.  then 2 stripes x 2 blocks = 4.","Stripes x blocks then the balls takeaway. E.g. 1 stripe x 3 = 3 minus 3 balls = 0","none",9
"128",155,"comp_mult","The magic eggs above two and three - add two lines. ","This now is more difficult - I am uncertain for this one. ","NA",0
"129",156,"comp_const","stripes do not increase the length of the sticks","spots take away sections of sticks 1 spot takes away 1 section 2 spots takes away 2 sections etc","It would be interesting to know what it was testing  ",1
"130",157,"comp_mult","Eggs with stripes that equal or exceed the lenght of the stick increase the lenght of the stick by 2 when they come into contact","Eggs with a number of stripes that are equel to or higher than the length of the stick increase the length by 2. While each dot decreases the length by 1.","No",1
"131",158,"comp_const","It multiplies by the amount of stripes present","The eggs with the dots decrease the sticks","no ",3
"132",159,"comp_mult_reverse","WHEN THE EGG HAS ONE STRIPE IT CAUSES THE STICKS TO DISAPPEAR ALL TOGETHER WHEN THERE IS TWO STRIPES THE STICKS STAY THE SAME AND WHEN THERE IS THREE STRIPES IT REMOVES ONE STICK","THE FOURTH EGG CAUSES THE STICKS TO STAY THE SAME AMOUNT. THE FIFTH EGG CAUSES THE STICKS TO MULTIPLY BY TWO AND THE SIXTH EGG CAUSES THE STICKS TO LOSE TWO.","I have no further comments.",2
"133",160,"comp_mult_reverse","Equal amount of sticks and spots cause no change. More sticks than spots cause the length to increase and less sticks than spots cause the length to decrease.","the amount of sticks determines how much the length increases by eg if there are three sticks the length will multiply by three.","NA",3
"134",161,"comp_mult_reverse","3 dots means the sticks disappear 2 dots means 2 sticks 1 dot means add another stick.","Times the number of stripes by the number of sticks to get the number of sticks when they touch.","no",3
"135",162,"comp_mult_reverse","If there are 2 more sticks than there are dots this adds 1 segment to the stick. If the stick to dot ratio is the same the stick stays the same length and if there are more dots than sticks the stick gets shorter","The amount of blocks after merging is the amount of blocks to start with multiplied by the amount of sticks","Very difficult",3
"136",163,"comp_mult_reverse","It appears that the dots make the sticks shorter 3 dots made 3 segments of stick disappear the lines seem to make sticks longer but they are weaker two lines could only increase one segment of stick so a line may increase half a segment? This works on the assumption that the dots and lines cancel each other out since in second example two dots and two lines made no change to stick","A line increases a stick by half a segment if it is an odd number of lines and a full segment if it is an even number of lines. A dot cancels out a line and a line cancels out a dot a dot decreases a stick by a full segment","I enjoyed it",2
"137",164,"comp_mult_reverse","The amount of lines touching 1 dot will equal the amount of segments in the stick i.e. if a dot is touching 2 lines then the stick will be made of 2 segments If multiple dots are touching a line the stick reduces to 0 segments ","times the original segment by the number of lines and minus a segment for each dot ","NA",10
"138",165,"comp_mult_reverse","How many dots lie on top of a line","The lines multiplied by the number of segments on the stick minus the number of dots","No.",9
"139",166,"comp_mult","The number of sticks in the egg has to be larger than the number of segments. ","I now think that sticks in the eggs mean addition but that dots in the eggs mean subtraction of the number of segments","Usually Im fairly good at these types of tasks but I found this one confusing and that made me feel a bit frustrated! Perhaps I didnt spend long enough on it or Im a bit tired today. Also I found the long text of instructions at the beginning hard to absorb. Anyway it was still engaging for me!",4
"140",167,"comp_const","the number of lines on the egg causes the degree of how long the stick grows (i.e: 2 lines doubles the length 3 lines triple 1 does nothing or multiplies by 1)","The dots on a egg will decrese the length of a branch by 1 unit and then after that the number of lines will be what the length is multiplied by as shown in the first description (1 line multiply by 1 2 lines multiply by 2","na",6
"141",168,"comp_mult","over 1 stick doubles the length","no matter the sticks 1 dot doubles 2 dots do nothing 3 or more remove the length","na",1
"142",169,"comp_mult_reverse","3 dots makes the line shorter 2 dots leaves the line the same lengh 1 dot increases the line ","1 line on the egg makes the stick stay the same 2 lines doubles the lengh 3 lines adds 2 to the lengh ","no none ",2
"143",170,"comp_mult","One stick keeps it all the same 2 or more sticks add on 2 blocks","1 stick with any amount of eggs will take away the blocks 2 sticks with any eggs will do nothing and any more will add ","I hope I did alright. ",0
"144",171,"comp_mult_reverse","The number of dots on the eggs vs the number of lines on the eggs determines what will happen to the length of the stick.   If the dots outnumber the lines on the egg then the stick will lose however many dots are on the egg.  If the lines outnumber the dots on the egg then the stick will gain however many dots are on the egg.  If both match then nothing happens to the stick.","If the lines on the egg are equal to or greater than the segments of the stick then the stick will gain two segments.","As the test carried on and I saw more combinations of shapes on the eggs I began to have more questions. Maybe I was over thinking this? Im still unsure what the connections are. Oh well! Either way thank you for this early morning study it was a good one.",3
"145",172,"comp_mult","My approximate guess is that the number of sticks equals the amount the length of the stick is times by. ie. 1block + 3 sticks = 3 blocks","If the magic egg is touching the stick it is multiplied if its not touching it counts against it.","It seemed confusing to read the full statement and then answering the questions was a lot to remember would have been easier if it was broke into two sections.",5
"146",173,"comp_mult_reverse","Equal dots and lines leave the sticks unchanged. More lines than dots adds sticks. More dots than lines removes sticks.","Multiply the number of lines by sticks and that is how many sticks. Then subtract the amount of dots. That is your final answer of how many sticks","I still have no clue how they work.",9
"147",174,"comp_mult_reverse","If there are more dots than lines the stick will reduce. If the number of dots and lines are the same the stick will stay the same. If the number of dots is less than the number of lines the stick will increase","If there is one line the stick stays the same. If there are two lines the stick doubles. If there are three lines the stick triples.","No",0
"148",175,"comp_const","Not sure at all. Odd  even numbered lines in the eggs might have something to do with the way the sticks change. ","How ever many dots there are within the egg you would subtract the same number of sticks after the egg hits it. ","The initial questions were VERY confusing and didnt make sense at all. ",2
"149",176,"comp_mult","An egg with more than 1 stripe adds 2 blocks.","the dots make the line shorter by their number and the lines increase the ladder when above 1.","I felt like I needed more tests to work it out.",2
"150",177,"comp_mult_reverse","However many lines and dots there are affects the outcome. A magic egg with the same amount of lines and dots as the sticks does not add or subtract. a magic egg that has a dot with more lines than sticks adds the same amount (as the number of dots) onto the stick. A magic egg with less lines the the stick and more dots subtracts the same amount of sticks equal to however many dots there are.","If the number of lines in the magic egg are less than the stick then the stick will stay the same. If the number of lines in the magic egg are the same as the stick then the stick number is doubled. If the number of lines in the magic egg are more than the stick then more is added to the stick so that the lines and stick are the same amount.","No.",1
"151",178,"comp_mult","That two or more lines on the eggs makes the sticks longer by 2 sections","Two or more lines on the eggs makes the sticks add two to their length but only if there is one spot on them.","No",4
"152",179,"comp_const","I think the number of lines corresponds to the percentage of stick length there will be. Each line is worth 100. So one line means 100 of the three sticks meaning it doesnt change. Secondly two lines mean 200 so the two sticks double to four. Lastly three lines mean 300 so one stick triples to three.","I still think the lines on the eggs mean the amount the sticks are increasing but with one line the sticks remain the same by showing 100 of what was there. The dots subtract one block for each dot.","NA",11
"153",180,"comp_mult_reverse","The number of black dots determines the number of segments. In this case the sticks seem to be irrellevant in determining how many segments there will be","The number of sticks are used as a multiplier for the number of initial segments. If there are 2 initial segments 2 multiplied by 2 sticks is 4 total segments as a result. Furthermore 1 initial segment multiplied by 3 sticks is 3 total segments as a result.","I now realise that the number of sticks will be multiplied by the number of segments and then the number of black dots will be subtracted from the new total of segments. Example 3 sticks 2 black dots and 3 segments. You will multiply 3 by 3 which is 9 and then subtract 2 from 9 to get 7 total segments. ",7
"154",181,"comp_const","The number of stripes correlates to how many times the original number of segments multiplies by.","The stripe does not appear to have any effect but the spots correlate to how many segments are taken away.","no.",10
"155",182,"comp_mult_reverse","The number of dot extends the length of the stick by the number of dots. This is true in all three tests. ","my guess is wrong I am now confused","no",3
"156",183,"comp_mult_reverse","I currently dont understand the relationship between the spots lines and the lenght change","Is the relationship stick will time lenght 3 unless their are magic eggs then they will reduce the times by 1 for each magic egg.","Nope",3
"157",184,"comp_mult_reverse","More lines than dots increases the length of the stick.","Even numbers of lines double the length of the sticks.","none",3
"158",185,"comp_const","The number of segments on the original stick multiplied by the number of stripes on the egg gives you the new number of segments (1x3=3 2x2=4 3x1=3)","Number of segments multiplied by number of lines minus number of spots.","Good experiment",11
"159",186,"comp_mult_reverse","one stripe = delete as many dots from the sticks  two stripe= sticks equal as many dots  three stripe=add as many dots to the stripes  ","Times the sticks by the number of dashes subtract the amount of dots ","No",10
"160",187,"comp_const","That the magic eggs have to have more than 1 line in order to add more blocks when they touch.","I think that the lines add block and the black spots remove blocks based on how many spots there are.","No.",3
"161",188,"comp_mult","The amount of lines on the egg indicate the multiplication of the stick segments. 1 is 1 x 3 (one line on the egg x 3 segments of the stick) 2 is 2 x 2 and 3 is 3 x 1","So the lines indicate multiplication and the dots indicate subtraction.","It was enjoyable. Thanks I would of loved to have known if i was right to clarify ",14
"162",189,"comp_mult_reverse","There needs to be more sticks than dots on the eggs for the stick to grow.  the same amount of dotssticks mean no growth or shrink more dots than sticks on the egg cause the stick to reduce in length","number of blocks in stick multiplied by how many sticks on egg minus how many dots on egg!","it was enjoyable.  Hopefully I worked out the causal rule!",8
"163",190,"comp_mult","1 line has no change on the sticks. 2 lines add 2 sticks 3 lines add 2 sticks","more that one line adds 2 sticks each dot takes away a stick","The comprehension questions didnt really make sense. ",1
"164",191,"comp_const","1 stripe doesnt change the lenght 2 stripes add 2 segments and 3 stripes always create 3 segments","The balls reduce the lenght of 1 for each ball","NA",1
"165",192,"comp_mult_reverse","The first egg made 3 segments of the stick disappear this had one line and 3 dots. The second egg didnt make a change and it had two lines and two dots. The third egg made the stick longer by one segment and it had one dot and three lines. I think that the number of dots if the egg has an odd number of lines corresponds to the change that will happen to the stick. So for example if there is one line and one dot then the stick will lose one segment. If there are three lines and two dots then the stick will increase by two segments. It doesnt matter how many dots are on an egg if there are two lines on it but Im not sure about this part. The sticks segments dots and lines were all the same so that might be an exception. ","I think it is that the number of lines on the egg is a multiplication and then the number of dots is a subtraction. So the original number of segments gets multiplied by the number of lines and then you have to minus the number of dots from that number and that equals what the overall number of segments will be. ","I am intrigued to know what the relationship is between the eggs and the sticks. I am confident that I worked it out but Im still a little unsure. Thank you!",9
