ix,condition,a_input,a_code,a_rule,b_input,b_code,b_rule
254,comp_const,1 dot no change 2 dots up by 2 3 dots up by 2,add_2,add_2,Lines in the egges make segments in the stick disappear ,complex,decrease
210,comp_mult,one dot= no change two dots= double or +2 three dots= turns to 3,complex,nominal,I truly dont have any idea,uncertain,not_sure
211,comp_mult,I spot stay the same  2 spots double  3 spots increase to 3,complex,nominal,Lines remove number of lines based on spot guesses,complex,nominal
235,comp_mult,Its completely random. ,uncertain,random,I believe that there is no significance in the lines or dots.  I think it is random.,uncertain,random
341,comp_const,An egg with two dots added two sticks to two sticks that were already there. An egg with three dots added two sticks to one stick that was already there. I think the dots on the eggs matter and how many sticks are there before the egg comes into contact with them. ,add_2,add_2,The stripes are what matter the most. The number of stripes in an egg will be the number of sticks that will disappear as soon as the egg comes into contact with them. ,subtract,decrease
352,comp_const,Im really not sure ,uncertain,not_sure,They eliminate squares,complex,decrease
284,comp_mult,one spot causes no change. two spots adds two segments but if the spot is touching the side of the egg it has no effect.,complex,add_2,Only the lines have value.Where there are two lines connected by a dot the line disappears. A line only touched by a dot - the segments stay the same but when the dots are directly on top of a line regardless of how many dots are on it the segments are increased by one.,complex,position
303,comp_mult,If the dot is in the middle and singular it does nothing if there are two dots in the middle it doubles the number and a dot at the top and bottom are extra,complex,position,The lines get rid of the sticks and the position of the spots indicating how many sticks should be,complex,position
308,comp_mult,1 dotted eggs have no effect on the stick 2  3 dotted eggs increase the stick length by 2,add_2,nominal,Dots add length lines take away,complex,mix
309,comp_mult,an egg with more than 1 ball inside doubles the amount of sticks.,complex,relative,they seem to reduce the amount o sticks when hit.,uncertain,decrease
336,comp_mult,I guess the number of spots on the egg is relative to how much the stick will grow when the egg touches it.,uncertain,not_sure,The sticks have a connection to the changes to the blocks.,uncertain,not_sure
337,comp_mult,The stripes multiplied by 3,uncertain,not_sure,Are we either multiplying or dividing depending on the placement of the dots and stripes?,uncertain,not_sure
278,comp_mult_reverse,The bars in the egg match the number of segments. A dot near the lower bar will make all segments disappear. Dots in the middle of bars do nothing. When dots below the bars outnumber the dots above the bars then segments increase by the difference.,complex,position,Dots in the top half do nothing dots in the lower half add same number of segments,complex,position
281,comp_mult_reverse,The spots adds number of segments on the stick while the stripes subtracts the number of segments. ,complex,mix,The dot determines the number of segments in the stick,uncertain,not_sure
292,comp_mult_reverse,stripes mean number of segments and dots mean longer or shorter segments,complex,mix,the dots equal the number of segments,uncertain,not_sure
335,comp_mult_reverse,The spots determine wether the sticks decrease stay the same or increase and the stripes determine the amount of segments that are affected (so one stripe on the egg would increase the sticks length by one if there was 3 spots if there was only 1 spot the length of the stick would decrease by 1),complex,nominal,The spots determine how many segments the stick is increased by the stripes determine if they increase or decrease,complex,nominal
330,comp_mult_reverse,When there are less dots than lines the stick decreases the number of lines on the egg. When the dots and lines are equal the stick stays the same length. When there are more dots than lines the stick increases by the number of lines.,complex,relative,Where the number of dots on the eggs is less than the stick length the stick remains the same. Where the number of dots on the egg is the same as the length of the stick the stick increases by the number of dots. Where the number of dots on the egg is greater than the length of the stick the stick increases to the length of the number of dots.,complex,relative
357,comp_mult_reverse,I think the more spots are on the eggs the more magic they are ,complex,relative,However many spots there are that is the number of blocks,complex,mix
252,comp_const,it adds 2 sticks each time even if there are more than 2 eggs,add_2,add_2,it takes it away depending where the egg is placed,complex,position
277,comp_const,odd balls equal 3 lines and even 4 lines,complex,parity,balls the right of the line is 2 left of the lines are 1 and middle are 0,complex,position
227,comp_mult,The first egg with the one small dot added one block. The second egg with two dots doubled in blocks and the third egg with three dots added one block to two to make three.,complex,description,On number four the egg with three stripes removed the number of blocks the egg has because theres one dot making it an odd number. Number 5 there are two stripes which leaves the two blocks remaining. On number six the three dots the red stripe through the one dot indicates only two dots remaining meaning only two blocks.,complex,description
301,comp_const,The more dots the eggs have the longer the sticks become.,complex,increase,The stripes on the magic eggs make the sticks shorter,complex,decrease
276,comp_mult,eggs with 2 or more spots increased the number of sticks - if the pattern is uniform i.e. the spots were in a straight line it produced more sticks,complex,relative,when the eggs have two or more dots the numbers of sticks changes otherwise it stays the same ,complex,relative
286,comp_mult,Odd amounts of eggs when touching the sticks increase to an odd number of sticks. Even no. of eggs increase to an even amount of sticks.,complex,parity,the number of sticks within the egg affect the number of blocks remaining.,complex,not_sure
349,comp_mult,the position of the dots and how many dots there are matter. ,complex,position,there needs to be more dots than sticks to increase the number of blocks,complex,relative
298,comp_mult_reverse,if an egg touches a stick it doubles (doesnt matter how many eggs). if an egg is in the middle of the stick it triples. ,complex,position,if the egg is touching the rim nothing happens. if they are floating it makes the number of blocks multiply by the number of floating eggs. ,complex,position
353,comp_mult_reverse,Honestly Im really struggling. I think it has something to do with the number of lines. For example in the first example the magic egg subtracts 3 and there are three lines. And in the third example the magic egg adds 1 line and there is only one line in the egg. Beyond that Im baffled.,uncertain,not_sure,Dots that arent touching or close to the edge of the egg add segments to the line.,complex,position
196,comp_mult_reverse,If the number of spots and stripes are the same it doesnt change the stick,complex,relative,No stripes adds blocks ,complex,not_sure
229,comp_mult_reverse,the number of lines in the egg equates to the length of the stick however when there is only one line the spots have some mathematical benefit not sure what yet though,complex,relative,1 spot=3 2 spots = 4 3 spots =3,complex,description
239,comp_mult_reverse,It seems to be the difference in the amount of eggs versus sticks that changes the amount of segments,complex,relative,Now I am starting to think that the placement of the eggs has an affect on the amount of segments,complex,position
275,comp_mult_reverse,the  number of stripes relates to the the number of segments that will change. the number of dots controls if segments are added or removed depending on the number of dots reletive to the already existing segments so if theres more dots than segments at the start segments equal to the number of stripes will be added and if theres less than the existing segments you remove segments equal to the number of stripes. if equal there is no change.,complex,relative,i dont think theres an actual rule i think the segment assignments are random.,uncertain,not_sure
